Nombre;Genero;Director;Precio;Año;Actores;Puntaje;Sinopsis;VistosMes;VistosAnio;AlqMes;AlqAnio
Harry Potter VII - Part 1;Fantasy;David Yates;32;2010;Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Alan Rickman;9; - - -;764;226;2771;4842
Harry Potter VII - Part 2;Fantasy;David Yates;43;2010;Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Alan Rickman;10; - - -;823;776;4477;2246
I am Legend;Action;Francis Lawrence;38;2007;Will Smith, Alice Braga, Dash Mihok, Salli Richardson, Willow Smith, Charlie Tahan;7; - - -;503;91;1974;5505
I, Robot;Sci-Fi;Alex Proyas;39;2004;Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell, Bruce Greenwood, Adrian L. Ricard;8; - - -;835;689;2486;7306
Ice Age 1;Animation;Chris Wedge;41;2002;Stimmen von Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic, Jack Black, Tara Strong;3; - - -;711;527;5465;4073
Ice Age 2: The Meltdown;Animation;Carlos Saldanha;40;2006;Stimmen von Ray Romano, John Leguizamo, Denis Leary, Drea de Matteo, Queen Latifah, Seann William Scott;6; - - -;988;680;3453;1690
Ice Age 3: Dawn of the Dinosaurs;Animation;Carlos Saldanha;37;2009;"Stimmen von Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott";6; - - -;784;479;4273;5274
Ice Age 4: Continental Drift;Animation;Steve Martino, Mike Thurmeier;33;2012;Aziz Ansari, Joy Behar, Alain Chabat, Ester Dean, Peter Dinklage;6; - - -;341;339;8177;1887
Interstellar;Sci-Fi;Christopher Nolan;33;2014;Matthew McConaughey, Anne Hathaway, Jessica Chastain, Wes Bentley, Casey Affleck, John Lithgow, Matt Damon;7; - - -;835;611;3988;8609
Iron Man;Sci-Fi;Jon Favreau;35;2008;Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges, Samuel L. Jackson, Hilary Swank;5; - - -;635;491;1920;9103
Kill Bill, Volume 1;Action;Quentin Tarantino;44;2003;Uma Thurman, David Carradine, Lucy Liu, Daryl Hannah, Vivica A. Fox, Michael Madsen;5; - - -;359;297;8204;9714
Kill Bill, Volume 2;Action;Quentin Tarantino;42;2004;Uma Thurman, David Carradine, Michael Madsen, Darryl Hannah, Gordon Liu, Michael Parks;5; - - -;580;494;6506;5501
Kung Fu Panda;Animation;John Stevenson, Mark Osborne;37;2008;Jack Black;9; - - -;849;434;4825;9702
Lady in the Water;Fantasy;M. Night Shyamalan;38;2006;Paul Giamatti, Bryce Dallas Howard, Mary Beth Hurt, Freddy Rodriguez, Jeffrey Wright, Sarita Choudhury, Bob Balaban;9; - - -;840;431;7339;958
Last Days on Mars, The;Sci-Fi;Ruairi Robinson;44;2013;Liev Schreiber, Romola Garai, Elias Koteas, Olivia Williams, Johnny Harris, Goran Kostic, Tom Cullen, Yusra Warsama;10; - - -;954;884;9870;8049
Lord of the Rings I - The Fellowship;Fantasy;Peter Jackson;45;2001;Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, John Rhys-Davies, Cate Blanchett, Liv Tyler, Ch. Lee, Sean Bean;5; - - -;230;210;9714;6918
Lord of the Rings II - The Two Towers;Fantasy;Peter Jackson;35;2002;Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, John Rhys-Davies, Cate Blanchett, Liv Tyler, Ch. Lee;5; - - -;975;780;7365;1572
Lord of the Rings III - The Return of the King;Fantasy;Peter Jackson;34;2003;Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, John Rhys-Davies, Cate Blanchett, Liv Tyler, Ch. Lee;10; - - -;815;727;5232;6280
Matrix;Sci-Fi;Wachowski Brothers;43;1999;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano, Hugo Weaving, Belinda Mcclory ;9; - - -;787;42;2240;2242
Matrix Reloaded;Sci-Fi;Wachowski Brothers;38;2003;K. Reeves, L. Fishburne, C.A. Moss,  H. Weaving, Jada Pinkett-Smith, Gloria Foster, M. Bellucci, Daniel Bernhardt ;7; - - -;884;364;3527;3241
Matrix Revolutions;Sci-Fi;Wachowski Brothers;38;2003;Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne, Nona Gaye, Monica Bellucci, Hugo Weaving;8; - - -;794;586;8856;5720
Mary Poppins;Animation;Robert Stevenson;27;1964;Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Reta Shaw;9; - - -;982;801;2506;1415
Max Payne;Sci-Fi;John Moore;30;2008;Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris, Chris O'Donnell, Donal Logue, Amaury Nolasco,;10; - - -;962;413;1450;9998
Mission: Impossible;Action;Brian De Palma;34;1996;Tom Cruise, Jon Voight, Henry Czerny, Emmanuelle Beart, Jean Reno, Ving Rhames;4; - - -;373;314;6292;7493
Mission: Impossible II;Action;John Woo;39;2000;Tom Cruise, Dougray Scott, Ving Rhames, Thandie Newton, Anthony Hopkins, Brendan Gleeson;7; - - -;532;346;5711;8999
Mission: Impossible III;Action;J. J. Abrams;45;2006;Tom Cruise, Ving Rhames, Sasha Alexander, Billy Crudup, Laurence Fishburne, Philip Seymour Hoffman;3; - - -;800;626;6246;7521
Monster;Drama;Patty Jenkins;39;2003;Charlize Theron, Christina Ricci, Bruce Dern, Scott Wilson, Pruitt Taylor Vince, Lee Tergesen, Annie Corley;5; - - -;781;525;6352;5291
Monster Inc.;Animation;Pixar, Walt Disney;38;2001;Stimmen von Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi, James Coburn, Jennifer Tilly;9; - - -;504;190;2982;6716
Monsters University;Animation;Dan Scanlon;44;2013;Nathan Fillion, John Goodman, Steve Buscemi, John Krasinski, Aubrey Plaza, Helen Mirren;7; - - -;954;386;2797;663
Mr. and Mrs. Smith;Comedy;Doug Liman;37;2005;Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody, Kerry Washington;6; - - -;114;94;4510;1511
Mulan;Animation;B. Cook, T. Bancroft;36;1998;Stimmen von Ming-Na Wen, Lea Salonga, Eddie Murphy, B.D. Wong, Donny Osmond, Harvey Fierstein;3; - - -;569;28;8116;8366
Mulan II;Animation;Darrell Rooney, Lynne Southerland;45;2012;William Shatner und weitere;4; - - -;701;642;4847;5228
Night at the Museum 2;Comedy;Shawn Levy;33;2009;Amy Adams, Ben Stiller, Robin Williams, Jonah Hill, Owen Wilson, Bill Hader;4; - - -;950;822;9639;1098
Oblivion;Sci-Fi;Joseph Kosinski;45;2013;Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough, Melissa Leo;6; - - -;695;627;6361;1992
Ocean's 11;Crime;Steven Soderbergh;43;2001;George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Elliot Gould, Carl Reiner, Julia Roberts ;7; - - -;929;721;784;3812
Ocean's 12;Crime;Steven Soderbergh;32;2004;George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, Catherine Zeta-Jones, Julia Roberts;9; - - -;789;671;4240;9046
Ocean's 13;Crime;Steven Soderbergh;38;2007;George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, Al Pacino, Ellen Barkin;3; - - -;927;920;6845;5899
One Way;Crime;Reto Salimbeni;37;2007;Til Schweiger, Lauren Lee Smith, Sebastien Roberts, Michael Clarke Duncan, Eric Roberts;10; - - -;775;288;5768;2702
Password Swordfish;Crime;Dominic Sena;33;2001;John Travolta, Hugh Jackman, Halle Berry, Vinnie Jones, Don Cheadle, Camryn Grimes ;10; - - -;264;112;9162;7603
Peter Pan (Walt Disney);Animation;Walt Disney;43;2012;Wilfred Jackson, Denis Leary, Hamilton Luske, ...;7; - - -;742;453;3258;8958
Pirates of the Caribbean I: The Curse of the Black Pearl;Fantasy;Gore Verbinski;42;2003;Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce;8; - - -;956;937;5780;7718
Pirates of the Caribbean II: Dead Man's Chest;Fantasy;Gore Verbinski;27;2006;Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy, Jonathan Pryce;5; - - -;943;905;8446;7124
Pirates of the Caribbean III: At World's End;Fantasy;Gore Verbinski;30;2007;Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Stellan Skarsgard, Bill Nighy, Chow Yun-Fat;5; - - -;880;334;5769;393
Pirates of the Caribbean IV: Fremde Gezeiten;Fantasy;Rob Marshall;42;2011;Johnny Depp, Geoffrey Rush, Penelope Cruz, Ian McShane, Bill Nighy;10; - - -;892;874;9604;8931
Pitch Black;Sci-Fi;David Twohy;28;2000;Vin Diesel, Radha Mitchell, Cole Hauser, Keith David, Lewis Fitz-Gerald, Claudia Black;8; - - -;456;257;6090;2814
Poseidon;Action;Wolfgang Petersen;28;2006;Joshua Lucas, Kurt Russell, Emmy Rossum, Jacinda Barrett, Mike Vogel, Richard Dreyfuss;10; - - -;654;507;5360;6875
Rambo IV;Action;Sylvester Stallone;44;2007;Sylvester Stallone, Julie Benz, Paul Schulze, Matthew Marsden, Graham McTavish;9; - - -;421;366;9848;6087
Rapunzel;Animation;Walt Disney;30;2010;Matthew Gray Gubler, Mandy Moore, Zachary Levi, David Schwimmer, John Goodman;3; - - -;726;675;4476;6860
Ratatouille;Animation;Pixar, Walt Disney;32;2007;Stimmen von Patton Oswalt, Brad Garrett, Ian Holm, Brian Dennehy, Janeane Garofalo, Peter O'Toole;5; - - -;979;910;4503;4356
Reader, The (Der Vorleser);Drama;Stephen Daldry ;38;2008;Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet, Bruno Ganz;7; - - -;967;557;5663;4882
Red Planet;Sci-Fi;Antony Hoffman;25;2000;Val Kilmer, Benjamin Bratt, Carrie-Anne Moss, Tom Sizemore, Terrence Stamp, Simon Baker;4; - - -;914;561;2807;1221
Reservoir Dogs;Crime;Quentin Tarantino;37;1992;Harvey Keitel, Tim Roth, Michael Madsen, Christopher Penn, Steve Buscemi, Lawrence Tierney;6; - - -;607;240;9010;4434
Resident Evil;Horror;Paul Anderson;28;2002;Milla Jovovich, Michelle Rodriguez, Eric Mabius, James Purefoy, Martin Crewes, Colin Salmon;8; - - -;895;688;3456;7377
Resident Evil: Apocalypse;Horror;Alexander Witt;32;2004;Milla Jovovich, Sienna Guillory, Oded Fehr, Zack Ward, Razaaq Adoti, Thomas Kretschmann, Sandrine Holt;6; - - -;893;865;9461;7279
Resident Evil: Extinction;Horror;Russell Mulcahy;37;2007;Milla Jovovich, Oded Fehr, Ali Larter, Iain Glen, Ashanti, Mike Epps;10; - - -;953;907;1400;5395
Rio;Animation;Carlos Saldanha;43;2011;Anne Hathaway, Neil Patrick Harris, Rodrigo Santoro, Jake T. Austin;8; - - -;994;839;7064;9335
Rio 2;Animation;Carlos Saldanha;36;2004;Carlinhos Brown, Jake T. Austin, Kristin Chenoweth, Alberto Costa, Amandla Stenberg;4; - - -;929;374;6024;933
Robin Hood;Animation;Walt Disney;41;2010; - - -;5; - - -;868;832;7186;3533
Robin Hood: Prince of Thieves;Historical;Kevin Reynolds;30;1991;Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater, Alan Rickman, Geraldine McEwan;3; - - -;750;553;3077;4348
Ronin;Action;John Frankenheimer;38;1998;Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard, Jonathan Pryce, Sean Bean ;4; - - -;663;558;7893;5220
Shrek;Animation;Adamson & Jenson;39;2001;Stimmen von Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel;8; - - -;824;338;9689;4162
Shrek 2;Animation;Adamson & Jenson;37;2004;Stimmen von Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, John Cleese;8; - - -;633;127;7717;5437
Shutter Island;Drama;Martin Scorsese;39;2010;Leo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow;4; - - -;937;798;9990;2929
Signs;Sci-Fi;M. Night Shyamalan;45;2002;Mel Gibson, Joaquin Phoenix, Rory Culkin, Patricia Kalember, Cherry Jones, Abigail Breslin, M. Night Shyamalan;10; - - -;399;289;1897;6910
Spider-Man;Fantasy;Sam Raimi;45;2002;Tobey Maguire, Kirsten Dunst, James Franco, Rosemary Harris, Willem Dafoe, Cliff Robertson;6; - - -;566;552;2134;1893
Spider-Man 2;Fantasy;Sam Raimi;31;2004;Tobey Maguire, Kirsten Dunst, James Franco, Rosemary Harris, Alfred Molina, Donna Murphy, J.K. Simmons;4; - - -;922;348;9565;3072
Spider-Man 3;Fantasy;Sam Raimi;44;2007;Tobey Maguire, Kirsten Dunst, Thomas Haden Church, James Franco, Topher Grace, Dylan Baker, Elizabeth Banks;10; - - -;760;702;7026;400
Star Wars IV - A New Hope;Sci-Fi;George Lucas;31;1977;Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, C-3P0, R2-D2, Chewbacca, Darth Vader;5; - - -;948;841;1596;6709
Star Wars V - The Empire Strikes Back;Sci-Fi;Irvin Kershner;43;1980;Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, C-3P0, R2-D2, Darth Vader;4; - - -;767;619;4984;8156
Star Wars VI - Return of the Jedi;Sci-Fi;Richard Marquand;28;1983;Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, C-3P0, R2-D2, Darth Vader;4; - - -;652;601;5192;7651
Super 8;Sci-Fi;J. J. Abrams;36;2011;Elle Fanning, Joel Courtney, Ryan Lee, Zach Mills, Riley Griffiths, Gabriel Basso;3; - - -;791;708;8451;7853
Tarzan 2;Animation;Brian Smith;34;2009; - - -;4; - - -;770;122;2458;2669
Terminator;Sci-Fi;James Cameron;28;1984;Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen, Rick Rossovich;3; - - -;838;732;3925;3937
Terminator 2: Judgment Day;Sci-Fi;James Cameron;44;1991;Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, Edward Furlong, Earl Boen, Joe Morton;10; - - -;949;910;4005;9574
Terminator 3: Rise of the Machines;Sci-Fi;Jonathan Mostow;37;2003;A.Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken, David Andrews, Mark Famiglietti, Matthew Bonnar;3; - - -;657;586;8245;6555
Tinker Bell: Secret of the Wings;Animation;Bradley Raymond;37;2012;Stimmen von Megan Hilty, Lucy Hale, Anjelica Huston, Mae Whitman, Lucy Liu;9; - - -;528;289;4389;5872
Tomb Raider (Lara Croft);Fantasy;Simon West;39;2001;Angelina Jolie, Iain Glenn, Jon Voight, Noah Taylor, Daniel Craig, Chrstopher Barrie, Julian Rhind-Tutt;4; - - -;755;619;3853;2431
Troy;Historical;Wolfgang Petersen;31;2004;Brad Pitt, Eric Bana, Orlando Bloom, Diane Kruger, Brian Cox, Sean Bean, Brendan Gleeson, Peter O'Toole;3; - - -;680;472;9018;6340
Unbreakable;Sci-Fi;M. Night Shyamalan;33;2000;Bruce Willis, Samuel L. Jackson, Robin Wright Penn, Spencer Treat Clark, Charlayne Woodard, Eamonn Walker;3; - - -;815;483;934;4858
Underworld I;Fantasy;Len Wiseman;36;2003;Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles;10; - - -;741;465;6869;2611
Underworld II: Evolution;Fantasy;Len Wiseman;37;2006;Kate Beckinsale, Scott Speedman, Tony Curran, Derek Jacobi, Bill Nighy, Steven Mackintosh;10; - - -;957;524;1847;9384
V for Vendetta;Action;James McTeigue;31;2005;Natalie Portman, Hugo Weaving, Stephen Rea, John Hurt, Rupert Graves, Sinead Cusack;5; - - -;797;779;4222;5410
Van Helsing;Fantasy;Stephen Sommers;38;2004;Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham, Shuler Hensley, Wiil Kemp;9; - - -;979;215;2014;8564
Wall-E;Animation;Andrew Stanton;42;2008;Pixar Animation Studios - Fred Willard, Ben Burtt ;8; - - -;856;644;1000;8908
White House Down;Action;Roland Emmerich;30;2013;Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke, Richard Jenkins;5; - - -;914;430;2973;3603
Woman in Black, The;Horror;James Watkins;36;2012;Daniel Radcliffe, Ciar�n Hinds, Janet McTeer, Alisa Khazanova, Shaun Dooley;7; - - -;873;580;5621;8238
World War Z;Sci-Fi;Marc Forster;25;2013;Brad Pitt, Bryan Cranston, Mireille Enos, James Badge Dale, Elyes Gabel;4; - - -;979;953;7184;4839
